"№ организации п/п","№ торгового объекта организации п/п","Полное наименование организации розничной торговли","Сокращеенное наименование лицензиата розничной торговли",ИНН,ОГРН,"Адрес организации розничной торговли","Адрес обособленного подразделения организации розничной торговли","КПП обособленного подразделения","Приказ Минпромторга России о включении организации розничной торговли в Перечень","Дата включения организации розничной торговли в Перечень"
1,1,"Общество с ограниченной ответственностью ""БОСКО Ривьера""","ООО ""БОСКО Ривьера""",2320155448,1072320016724,"Краснодарский край, г. Сочи, ул. Войкова, д. 1",,,"от 12.04.2018 №1389",17.04.2018
1,2,"Общество с ограниченной ответственностью ""БОСКО Ривьера""","ООО ""БОСКО Ривьера""",2320155448,1072320016724,,"Краснодарский край, г. Сочи, с. Эсто-Садок, наб. Времена года, д.1",231745009,"от 12.04.2018 №1389",17.04.2018
2,1,"Общество с ограниченной ответственностью ""Фурла Рус""","ООО ""Фурла Рус""",5027172101,1115027002782,,"г. Екатеринбург, ул. Вайнера, д. 9",667145001,"от 13.07.2018 №2754",
2,2,"Общество с ограниченной ответственностью ""Фурла Рус""","ООО ""Фурла Рус""",5027172101,1115027002782,,"г. Москва, Красная пл., д. 3",771045001,"от 13.07.2018 №2754",
3,1,"Общество с ограниченной ответственностью ""Джей. Чу РУС""","ООО ""Джей. Чу РУС""",5027195797,1125027019171,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 25.05.2018 №2007",28.05.2018
3,2,"Общество с ограниченной ответственностью ""Джей. Чу РУС""","ООО ""Джей. Чу РУС""",5027195797,1125027019171,,"г. Москва, Красная пл., д. 3",771045001,"от 25.05.2018 №2007",28.05.2018
4,1,"Закрытое акционерное общество ""Премиум Отель Менеджмент""",,5032178010,1075032015673,,"г. Москва, ул. Петровка, д. 2, строение 2",770745001,"от 25.04.2018 №1667",26.04.2018
4,2,"Закрытое акционерное общество ""Премиум Отель Менеджмент""",,5032178010,1075032015673,,"г. Санкт-Петербург, ул. Большая Конюшенная, д. 21-23, литер А",784145001,"от 25.04.2018 №1667",26.04.2018
5,1,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 06.04.2018 №1307",09.04.2018
5,2,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"г. Москва, ул. Никольская, д. 19-21/1",770245003,"от 06.04.2018 №1307",09.04.2018
5,3,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"г. Москва, ул. Петровка, д. 2, строение 2",770245004,"от 06.04.2018 №1307",09.04.2018
5,4,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"г. Москва, Красная пл., д. 3",770245013,"от 06.04.2018 №1307",09.04.2018
5,5,"Общество с ограниченной ответственностью ""М СТИЛЬ""","ООО ""М СТИЛЬ""",5032231313,1165032052063,,"г. Санкт-Петербург, ул. Большая Конюшенная, д. 21-23, литер А",784145001,"от 06.04.2018 №1307",09.04.2018
6,1,"Общество с ограниченной ответственностью ""М Фэшн""","ООО ""М Фэшн""",5032277847,1145032002390,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445002,"от 06.04.2018 №1307",09.04.2018
6,2,"Общество с ограниченной ответственностью ""М Фэшн""","ООО ""М Фэшн""",5032277847,1145032002390,,"г. Москва, ул. Никольская, д. 19-21/1",770445002,"от 06.04.2018 №1307",09.04.2018
6,3,"Общество с ограниченной ответственностью ""М Фэшн""","ООО ""М Фэшн""",5032277847,1145032002390,,"г. Москва, ул. Никольская, д. 19-21, строение 2",770445012,"от 06.04.2018 №1307",09.04.2018
7,1,"Общество с ограниченной ответственностью ""Екатеринбург Яблоко""","ООО ""Екатеринбург Яблоко""",6670381056,1126670019585,,"г. Екатеринбург, ул. Вайнера, д. 9",667145003,"от 23.07.2018 №2885",
8,1,"Общество с ограниченной ответственностью ""Ап энд ран""","ООО ""Ап энд ран""",7701348374,1157746439025,,"г. Красногорск, ул. Международная, д. 12",502445001,"от 13.07.2018 №2754",
8,2,"Общество с ограниченной ответственностью ""Ап энд ран""","ООО ""Ап энд ран""",7701348374,1157746439025,,"г. Екатеринбург, ул. Вайнера, д. 9",667145002,"от 13.07.2018 №2754",
9,1,"Общество с ограниченной ответственностью ""Носимо""","ООО ""Носимо""",7701349057,1157746450465,,"г. Казань, пр. Победы, д. 141",166045001,"от 13.07.2018 №2754",
9,2,"Общество с ограниченной ответственностью ""Носимо""","ООО ""Носимо""",7701349057,1157746450465,,"г. Волгоград, ул. Рабоче-Крестьянская, д. 9Б",346045002,"от 13.07.2018 №2754",
9,3,"Общество с ограниченной ответственностью ""Носимо""","ООО ""Носимо""",7701349057,1157746450465,,"г. Красногорск, ул. Международная, д. 12",502445001,"от 13.07.2018 №2754",
9,4,"Общество с ограниченной ответственностью ""Носимо""","ООО ""Носимо""",7701349057,1157746450465,,"г. Екатеринбург, ул. 8 марта, д. 46",667145001,"от 13.07.2018 №2754",
9,5,"Общество с ограниченной ответственностью ""Носимо""","ООО ""Носимо""",7701349057,1157746450465,,"г. Екатеринбург, ул. Вайнера, д. 9",667145002,"от 13.07.2018 №2754",
9,6,"Общество с ограниченной ответственностью ""Носимо""","ООО ""Носимо""",7701349057,1157746450465,,"г. Москва, Красная пл., д. 3",771045001,"от 13.07.2018 №2754",
10,1,"Общество с ограниченной ответственностью ""Реинвент""","ООО ""Реинвент""",7701402303,1147746834300,,"Московская область, г. Красногорск, ул. Международная, д. 12",,"от 13.07.2018 №2753",
11,1,"Общество с ограниченной ответственностью ""Т.Р.С. Дистрибьюшн""","ООО ""Т.Р.С. Дистрибьюшн""",7701870372,1107746224960,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 25.04.2018 №1667",26.04.2018
11,2,"Общество с ограниченной ответственностью ""Т.Р.С. Дистрибьюшн""","ООО ""Т.Р.С. Дистрибьюшн""",7701870372,1107746224960,,"г. Москва, Красная пл., д. 3",771045001,"от 25.04.2018 №1667",26.04.2018
12,1,"Общество с ограниченной ответственностью ""ШАНЕЛЬ""","ООО ""ШАНЕЛЬ""",7702331790,1037739006216,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 06.04.2018 №1307",09.04.2018
12,2,"Общество с ограниченной ответственностью ""ШАНЕЛЬ""","ООО ""ШАНЕЛЬ""",7702331790,1037739006216,,"г. Москва, ул. Петровка, д. 2, строение 2",770745001,"от 06.04.2018 №1307",09.04.2018
13,1,"Акционерное общество ""БНС Груп""","АО ""БНС Груп""",7702680310,1087746873323,,"Республика Татарстан, г. Казань, проспект Победы, д. 141",166045004,"от 25.05.2018 №2007",28.05.2018
13,2,"Акционерное общество ""БНС Груп""","АО ""БНС Груп""",7702680310,1087746873323,,"Московская область, г. Красногорск, ул. Международная, д. 12",502445001,"от 25.04.2018 №1667",26.04.2018
13,3,"Акционерное общество ""БНС Груп""","АО ""БНС Груп""",7702680310,1087746873323,,"Самарская область, г. Самара, Московское шоссе, д. 81Б",631945001,"от 25.05.2018 №2007",28.05.2018
13,4,"Акционерное общество ""БНС Груп""","АО ""БНС Груп""",7702680310,1087746873323,,"Свердловская область, г. Екатеринбург, ул. 8 Марта, д. 46",667145002,"от 25.05.2018 №2007",28.05.2018
13,5,"Акционерное общество ""БНС Груп""","АО ""БНС Груп""",7702680310,1087746873323,,"Свердловская область, г. Екатеринбург, ул. Вайнера, д. 9",667145004,"от 25.05.2018 №2007",28.05.2018
13,6,"Акционерное общество ""БНС Груп""","АО ""БНС Груп""",7702680310,1087746873323,,"Свердловская область, г. Екатеринбург, ул. 8 Марта, д. 46",667145005,"от 25.05.2018 №2007",28.05.2018
13,7,"Акционерное общество ""БНС Груп""","АО ""БНС Груп""",7702680310,1087746873323,,"г. Москва, Красная пл., д. 3",771045002,"от 25.04.2018 №1667",26.04.2018
14,1,"Акционерное Общество ""МФК ДжамильКо""","АО ""МФК ДжамильКо""",7703013782,1027700141446,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 09.06.2018 №2296",13.06.2018
14,2,"Акционерное Общество ""МФК ДжамильКо""","АО ""МФК ДжамильКо""",7703013782,1027700141446,,"Свердловская область, г. Екатеринбург, ул. 8-го Марта, д. 46",667145001,"от 09.06.2018 №2296",13.06.2018
14,3,"Акционерное Общество ""МФК ДжамильКо""","АО ""МФК ДжамильКо""",7703013782,1027700141446,,"г. Москва, Красная пл., д. 3",771032003,"от 09.06.2018 №2296",13.06.2018
14,4,"Акционерное Общество ""МФК ДжамильКо""","АО ""МФК ДжамильКо""",7703013782,1027700141446,,"г. Москва, Красная пл., д. 3",771032004,"от 09.06.2018 №2296",13.06.2018
15,1,"Общество с ограниченной ответственностью ""РусМода""","ООО ""РусМода""",7703708336,1097746623248,,"г. Красногорск, ул. Международная, д. 8",502445001,"от 18.06.2018 №2370",19.06.2018
16,1,"Общество с ограниченной ответственностью ""ЛТФ РУС""","ООО ""ЛФТ РУС""",7703799870,5137746022112,,"г. Красногорск, ул. Международная, д. 12",502445001,"от 13.07.2018 №2753",
17,1,"Общество с ограниченной ответственностью ""Ар-Эл-Джи""","ООО ""Ар-Эл-Джи""",7704242231,1027700260202,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 06.04.2018 №1307",09.04.2018
17,2,"Общество с ограниченной ответственностью ""Ар-Эл-Джи""","ООО ""Ар-Эл-Джи""",7704242231,1027700260202,,"г. Москва, Красная пл., д. 3",770745015,"от 06.04.2018 №1307",09.04.2018
18,1,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"Республиа Татарстан, ул. Петербургская, д. 1",165545001,"от 25.05.2018 №2007",28.05.2018
18,2,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"Республиа Татарстан, просп. Ямашева, д. 46/33",165732001,"от 25.05.2018 №2007",28.05.2018
18,3,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"Республиа Татарстан, просп. Победы, д. 141",166032001,"от 25.05.2018 №2007",28.05.2018
18,4,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"Краснодарский край, г. Сочи, ул. Войкова, д. 1",232045001,"от 25.05.2018 №2007",28.05.2018
18,5,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"Краснодарский край, г. Сочи, ул. Войкова, д. 1",232045002,"от 25.05.2018 №2007",28.05.2018
18,6,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"Московская область, г. Красногорск, ул. Международная, д. 12",502445001,"от 25.05.2018 №2007",28.05.2018
18,7,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"Нижегородская область, г. Нижний Новгород, ул. Бетанкура, д. 1",525745001,"от 25.05.2018 №2007",28.05.2018
18,8,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"Самарская область, г. Самара, п. Мехзавод, 24-й километр, д. 5",631345001,"от 25.05.2018 №2007",28.05.2018
18,9,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"Свердловская область, г. Екатеринбург, ул. 8 Марта, д. 46",667132001,"от 25.05.2018 №2007",28.05.2018
18,10,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"г. Москва, Красная пл., д. 3",771032002,"от 25.05.2018 №2007",28.05.2018
18,11,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"г. Москва, Красная пл., д. 3",771032003,"от 25.05.2018 №2007",28.05.2018
18,12,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"г. Москва, Красная пл., д. 3",771032004,"от 25.05.2018 №2007",28.05.2018
18,13,"Общество с ограниченной ответственностью ""Свотч Групп (РУС)""","ООО ""Свотч Групп (РУС)""",7704582037,1057749487388,,"г. Москва, Красная пл., д. 3",771045003,"от 25.05.2018 №2007",28.05.2018
19,1,"Общество с ограниченной ответственностью ""Лоншам Руси""","ООО ""Лоншам Руси""",7704852029,5137746160151,,"г. Москва, Красная пл., д. 3",771045001,"от 08.05.2018 №1805",10.05.2018
20,1,"Общество с ограниченной ответственностью ""Самсонайт""","ООО ""Самсонайт""",7706644419,1067761645665,,"Московская область, г. Красногорск, ул. Международная, д. 12",502445002,"от 25.05.2018 №2007",28.05.2018
20,2,"Общество с ограниченной ответственностью ""Самсонайт""","ООО ""Самсонайт""",7706644419,1067761645665,,"г. Екатеринбург, ул. 8 марта, д. 46",667145001,"от 18.06.2018 №2370",19.06.2018
20,3,"Общество с ограниченной ответственностью ""Самсонайт""","ООО ""Самсонайт""",7706644419,1067761645665,,"г. Екатеринбург, ул. 8 марта, д. 46",667145002,"от 18.06.2018 №2370",19.06.2018
20,4,"Общество с ограниченной ответственностью ""Самсонайт""","ООО ""Самсонайт""",7706644419,1067761645665,,"г. Москва, Красная пл., д. 3",771045001,"от 25.05.2018 №2007",28.05.2018
21,1,"Открытое акционерное общество ""Торговый дом ЦУМ""","ОАО ""ТД ЦУМ""",7707073366,1027739063208,"г. Москва, ул. Петровка, д. 2, строение 1,2",,,"от 06.04.2018 №1307",09.04.2018
21,2,"Открытое акционерное общество ""Торговый дом ЦУМ""","ОАО ""ТД ЦУМ""",7707073366,1027739063208,,"г. Санкт-Петербург, ул. Большая Конюшенная, д. 21-23, литер А",784145001,"от 06.04.2018 №1307",09.04.2018
22,1,"Акционерное общество ""ЗАРА СНГ""","АО ""Зара СНГ""",7707099460,1027700429690,,"Республиа Татарстан, просп. Ямашева, д. 46/33",165745001,"от 25.05.2018 №2007",28.05.2018
22,2,"Акционерное общество ""ЗАРА СНГ""","АО ""Зара СНГ""",7707099460,1027700429690,,"Республиа Татарстан, просп. Победы, д. 141",166032001,"от 25.05.2018 №2007",28.05.2018
22,3,"Акционерное общество ""ЗАРА СНГ""","АО ""Зара СНГ""",7707099460,1027700429690,,"Волгоградская область, г. Волгоград, ул. Рабоче-Крестьянская, д. 9Б",344545001,"от 25.05.2018 №2007",28.05.2018
22,4,"Акционерное общество ""ЗАРА СНГ""","АО ""Зара СНГ""",7707099460,1027700429690,,"Калининградская область, г. Калининград, ул. Театральная, д. 30",390632001,"от 25.05.2018 №2007",28.05.2018
22,5,"Акционерное общество ""ЗАРА СНГ""","АО ""Зара СНГ""",7707099460,1027700429690,,"Московская область, г. Красногорск, ул. Международная, д. 12",502445002,"от 08.05.2018 №1805",10.05.2018
22,6,"Акционерное общество ""ЗАРА СНГ""","АО ""Зара СНГ""",7707099460,1027700429690,,"Ростовская область, г. Ростов-на-Дону, просп. Михаила Нагибина, 32/2",616132001,"от 25.05.2018 №2007",28.05.2018
22,7,"Акционерное общество ""ЗАРА СНГ""","АО ""Зара СНГ""",7707099460,1027700429690,,"Ростовская область, г. Ростов-на-Дону, ул. Малиновского, д. 25",616845001,"от 25.05.2018 №2007",28.05.2018
22,8,"Акционерное общество ""ЗАРА СНГ""","АО ""Зара СНГ""",7707099460,1027700429690,,"Самарская область, г. Самара, Московское шоссе, 24 км, д. 5",631345001,"от 25.05.2018 №2007",28.05.2018
22,9,"Акционерное общество ""ЗАРА СНГ""","АО ""Зара СНГ""",7707099460,1027700429690,,"Свердловская область, г. Екатеринбург, ул. 8 Марта, д. 46",667145001,"от 25.05.2018 №2007",28.05.2018
23,1,"Акционерное Общество ""Эрмес Рус""","АО ""Эрмес Рус""",7707286653,1027700320658,,"г. Москва, Красная пл., д. 3",771045001,"от 25.05.2018 №2007",28.05.2018
24,1,"Общество с ограниченной ответственностью ""Роникс""","ООО ""Роникс""",7707341329,1157746438255,,"г. Красногорск, ул. Междунородная, д. 8",502445001,"от 09.06.2018 №2296",13.06.2018
25,1,"Общество с ограниченной ответственностью ""КЛ РУССИ""","ООО ""КЛ РУССИ""",7707352176,1157746899144,,"г. Москва, ул. Петровка, д. 2, строение 2",770745002,"от 06.04.2018 №1307",09.04.2018
25,2,"Общество с ограниченной ответственностью ""КЛ РУССИ""","ООО ""КЛ РУССИ""",7707352176,1157746899144,,"г. Санкт-Петербург, ул. Большая Конюшенная, д. 21-23, литер А",784145001,"от 06.04.2018 №1307",09.04.2018
26,1,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Саранск, ул. Богдана Хмельницкого, д. 28",132645001,"от 09.06.2018 №2296",13.06.2018
26,2,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Саранск, ул. Волгоградская, д. 71",132845001,"от 09.06.2018 №2296",13.06.2018
26,3,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Казань, ул. Петербургская, д. 1",165531001,"от 09.06.2018 №2296",13.06.2018
26,4,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Казань, пр. Победы, д. 141",166032002,"от 09.06.2018 №2296",13.06.2018
26,5,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Волгоград, ул. им. Землячки, д. 110Б",344345001,"от 09.06.2018 №2296",13.06.2018
26,6,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Волгоград, пр. им. В.И.Ленина, д. 54Б",344445001,"от 09.06.2018 №2296",13.06.2018
26,7,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Калининград, ул. Профессора Баранова, д. 40",390645001,"от 09.06.2018 №2296",13.06.2018
26,8,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Красногорск, ул. Международная, д. 12",502445002,"от 09.06.2018 №2296",13.06.2018
26,9,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Нижний Новгород, ул. Бетанкура, д. 1",525745001,"от 09.06.2018 №2296",13.06.2018
26,10,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Ростов-на-Дону, ул. Пойменная, д. 1",616445001,"от 09.06.2018 №2296",13.06.2018
26,11,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Самара, Московское шоссе, 18 км, д. 25А",631232001,"от 09.06.2018 №2296",13.06.2018
26,12,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Самара, Московское шоссе, 24 км, д.5",631345001,"от 09.06.2018 №2296",13.06.2018
26,13,"Общество с ограниченной ответственностью ""М.ВИДЕО МЕНЕДЖМЕНТ""","ООО ""М.Видео Менеджмент""",7707548740,1057746840095,,"г. Екатеринбург, ул. 8 марта, д. 46",667145002,"от 09.06.2018 №2296",13.06.2018
27,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРИСТИАН ДИОР КУТЮР СТОЛЕШНИКОВ""","ООО ""КРИСТИАН ДИОР КУТЮР СТОЛЕШНИКОВ""",7707583102,1067746457239,,"г. Москва, ул. Петровка, д. 2, строение 2",770745002,"от 06.04.2018 №1307",09.04.2018
27,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРИСТИАН ДИОР КУТЮР СТОЛЕШНИКОВ""","ООО ""КРИСТИАН ДИОР КУТЮР СТОЛЕШНИКОВ""",7707583102,1067746457239,,"г. Москва, Красная пл., д. 3",771045001,"от 06.04.2018 №1307",09.04.2018
28,1,"Общество с ограниченной ответственностью ""Леви Штраусс Москва""","ООО ""Леви Штраусс Москва""",7707672105,1087746970673,,"г. Казань, пр. Победы, д. 141",166045001,"от 23.07.2018 №2885",
28,2,"Общество с ограниченной ответственностью ""Леви Штраусс Москва""","ООО ""Леви Штраусс Москва""",7707672105,1087746970673,,"г. Волгоград, ул. им. Землячки, д. 110Б",344345001,"от 23.07.2018 №2885",
28,3,"Общество с ограниченной ответственностью ""Леви Штраусс Москва""","ООО ""Леви Штраусс Москва""",7707672105,1087746970673,,"г. Красногорск, ул. Международная, д. 12",502445002,"от 23.07.2018 №2885",
28,4,"Общество с ограниченной ответственностью ""Леви Штраусс Москва""","ООО ""Леви Штраусс Москва""",7707672105,1087746970673,,"г. Ростов-на-Дону, ул. Малиновского, д. 25",616845001,"от 23.07.2018 №2885",
28,5,"Общество с ограниченной ответственностью ""Леви Штраусс Москва""","ООО ""Леви Штраусс Москва""",7707672105,1087746970673,,"г. Екатеринбург, ул. 8 марта, д. 46",667145001,"от 23.07.2018 №2885",
28,6,"Общество с ограниченной ответственностью ""Леви Штраусс Москва""","ООО ""Леви Штраусс Москва""",7707672105,1087746970673,,"г. Москва, Красная пл., д. 3",774345020,"от 23.07.2018 №2885",
29,1,"Общество с ограниченной ответственностью ""Меркурий""","ООО ""Меркурий""",7707826404,1147746146712,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 06.04.2018 №1307",09.04.2018
29,2,"Общество с ограниченной ответственностью ""Меркурий""","ООО ""Меркурий""",7707826404,1147746146712,,"г. Москва, Смоленская пл., д. 3",770445001,"от 06.04.2018 №1307",09.04.2018
29,3,"Общество с ограниченной ответственностью ""Меркурий""","ООО ""Меркурий""",7707826404,1147746146712,,"г. Москва, Красная пл., д. 3",771045001,"от 06.04.2018 №1307",09.04.2018
30,1,"Общество с ограниченной ответственностью ""ГУЧЧИ РУС""","ООО ""ГУЧЧИ РУС""",7708790060,1137746449280,,"г. Москва, ул. Петровка, д. 2, строение 2",770045005,"от 25.05.2018 №2007",28.05.2018
30,2,"Общество с ограниченной ответственностью ""ГУЧЧИ РУС""","ООО ""ГУЧЧИ РУС""",7708790060,1137746449280,,"г. Москва, ул. Петровка, д. 2, строение 2",770745001,"от 25.05.2018 №2007",28.05.2018
30,3,"Общество с ограниченной ответственностью ""ГУЧЧИ РУС""","ООО ""ГУЧЧИ РУС""",7708790060,1137746449280,,"г. Москва, ул. Новый Арбат, 19",770745002,"от 25.05.2018 №2007",28.05.2018
30,4,"Общество с ограниченной ответственностью ""ГУЧЧИ РУС""","ООО ""ГУЧЧИ РУС""",7708790060,1137746449280,,"г. Москва, Красная пл., д. 3",770745004,"от 25.05.2018 №2007",28.05.2018
30,5,"Общество с ограниченной ответственностью ""ГУЧЧИ РУС""","ООО ""ГУЧЧИ РУС""",7708790060,1137746449280,,"г. Москва, ул. Петровка, д. 2, строение 2",770745006,"от 25.05.2018 №2007",28.05.2018
30,6,"Общество с ограниченной ответственностью ""ГУЧЧИ РУС""","ООО ""ГУЧЧИ РУС""",7708790060,1137746449280,,"г. Москва, ул. Петровка, д. 2, строение 2",770745007,"от 25.05.2018 №2007",28.05.2018
31,1,"Общество с ограниченной ответственностью ""реСтор""","ООО ""реСтор""",7709678550,1067746613065,,"г. Казань, пр. Победы, д. 141",166045001,"от 23.07.2018 №2885",
31,2,"Общество с ограниченной ответственностью ""реСтор""","ООО ""реСтор""",7709678550,1067746613065,,"г. Волгоград, пр. им. В.И.Ленина, д. 54Б",344445001,"от 23.07.2018 №2885",
31,3,"Общество с ограниченной ответственностью ""реСтор""","ООО ""реСтор""",7709678550,1067746613065,,"г. Красногорск, ул. Международная, д. 12",502445001,"от 23.07.2018 №2885",
31,4,"Общество с ограниченной ответственностью ""реСтор""","ООО ""реСтор""",7709678550,1067746613065,,"г. Самара, Московское шоссе, 24 км, д. 5",631345001,"от 23.07.2018 №2885",
31,5,"Общество с ограниченной ответственностью ""реСтор""","ООО ""реСтор""",7709678550,1067746613065,,"г. Екатеринбург, ул. 8 марта, д. 46",667145001,"от 23.07.2018 №2885",
31,6,"Общество с ограниченной ответственностью ""реСтор""","ООО ""реСтор""",7709678550,1067746613065,,"г. Екатеринбург, ул. Вайнера, д. 9",667145002,"от 23.07.2018 №2885",
31,7,"Общество с ограниченной ответственностью ""реСтор""","ООО ""реСтор""",7709678550,1067746613065,,"г. Москва, Красная пл., д. 3",771045003,"от 23.07.2018 №2885",
32,1,"Общество с ограниченной ответственностью ""САНТОЧА""","ООО ""САНТОЧА""",7709695122,5067746131052,,"г. Красногорск, ул. Международная, д. 12",502445002,"от 13.07.2018 №2753",
32,2,"Общество с ограниченной ответственностью ""САНТОЧА""","ООО ""САНТОЧА""",7709695122,5067746131052,,"г. Нижний Новгород, ул. Бетанкура, д. 1",525745001,"от 13.07.2018 №2753",
32,3,"Общество с ограниченной ответственностью ""САНТОЧА""","ООО ""САНТОЧА""",7709695122,5067746131052,,"г. Самара, Московское шоссе, 24 км, д.5",631345001,"от 13.07.2018 №2753",
33,1,"Общество с ограниченной ответственностью ""ЛОДЕ""","ООО ""ЛОДЕ""",7709828703,1097746207723,,"Московская область, г. Красногорск, ул. Международная, д. 12",502445001,"от 25.04.2018 №1667",26.04.2018
